,Rubish,Number of Games the country participated in_x,Gold_x,Silver_x,Bronze_x,Total_x,Number of Games the country participated in_y,Gold_y,Silver_y,Bronze_y,Total_y,Number of Games the country participated in.1,Gold.1,Silver.1,Bronze.1,Total.1
 Afghanistan (AFG),BLA,14.0,0,0,2,2,0.0,0,0,0,0,14.0,0,0,2,2
 Algeria (ALG),BLA,13.0,5,4,8,17,3.0,0,0,0,0,16.0,5,4,8,17
 Argentina (ARG),BLA,24.0,21,25,28,74,19.0,0,0,0,0,43.0,21,25,28,74
 Armenia (ARM),BLA,6.0,2,6,6,14,7.0,0,0,0,0,13.0,2,6,6,14
 Australasia (ANZ) [ANZ],BLA,2.0,3,4,5,12,0.0,0,0,0,0,2.0,3,4,5,12
